Place,Latitude,Longitude,God,Source,Frequency
Lycaon,33.95383536913562,-6.896387800550586,Hermes,Apollodorus,1
Coronis,46.450923200143194,13.32215933534598,Hermes,Apollodorus,1
Dicte,35.162009148427735,25.44574272198655,Zeus,Apollodorus,1
Metis,46.020572347204464,24.40480735546392,Zeus,Apollodorus,3
Nereus,51.83643954584679,4.16105619954105,Hades,Apollodorus,1
Terpsichore,47.21333030722155,-1.5625657247038907,Apollo,Apollodorus,1
Urania,48.21241274264635,16.384086215062133,Apollo,Apollodorus,1
Polymnia,42.39104596100733,-8.702420289679468,Apollo,Apollodorus,1
Pieria,46.520407885409924,12.796260613230013,Dionysus,Apollodorus,1
Delos,37.390873425404315,25.27175729250849,Apollo,Apollodorus,1
Iambe,52.35211612598796,4.894293197883091,Demeter,Apollodorus,1
Eleusis,38.04679178655089,23.534490224737937,Zeus,Apollodorus,1
Egypt,26.254057690409475,29.266846859668277,Zeus,Apollodorus,1
Syria,34.8149907858142,38.42328698918713,Zeus,Apollodorus,1
Sicily,37.58708641383579,14.15580258592415,Zeus,Apollodorus,1
Greece,38.99510775999133,21.987247863836775,Zeus,Apollodorus,1
Nireus,36.618188959580635,27.83829603406559,Zeus,Apollodorus,1
Triops,42.12604812349775,2.7645010045054903,Zeus,Apollodorus,1
Triops,42.12448021521516,2.7644664444982134,Poseidon,Apollodorus,1
Naxos,37.82442104909289,15.268729973005108,Artemis,Apollodorus,1
Thessaly,39.576248121078386,22.163110318651977,Zeus,Apollodorus,2
Aetolia,37.98671624915378,23.763891695879927,Apollo,Apollodorus,2
Pleuron,38.41638238134559,21.40854929607064,Apollo,Apollodorus,2
Calydon,51.48457084273018,0.0270871195524649,Apollo,Apollodorus,2
Sterope,41.874436578585595,12.617932683339092,Ares,Apollodorus,1
Sterope,41.87379087474899,12.617300655638164,Dionysus,Apollodorus,1
Calydon,51.48317356226232,0.02804801412080998,Dionysus,Apollodorus,1
Greece,38.99556278671277,21.98812597803432,Ares,Apollodorus,12
Calydon,51.484541211916195,0.026693595563778937,Zeus,Apollodorus,1
Helle,50.91109160700809,5.851827120196878,Hermes,Apollodorus,1
Aeetes,41.88876198452166,41.7753300676222,Zeus,Apollodorus,1
Phrontis,37.964104000112826,23.61540664527589,Zeus,Apollodorus,1
Boeotia,38.35658230496624,23.111066172994114,Hera,Apollodorus,1
Aegina,46.50381441431197,8.318017654712307,Zeus,Apollodorus,1
Phocis,38.50102299446074,22.249079021306418,Zeus,Apollodorus,1
Messene,37.17454245724045,21.92131433859535,Dionysus,Apollodorus,1
Argia,43.47547688305523,-1.540498305523919,Hera,Apollodorus,1
Thessaly,39.57601993758303,22.164159967767006,Hera,Apollodorus,1
Dodona,42.6619716549438,21.16654325500161,Athena,Apollodorus,1
Greece,38.99632661006397,21.987064388844857,Athena,Apollodorus,4
Asterius,45.15377844231725,0.5195471827426988,Ares,Apollodorus,1
Cometes,38.781702493184746,0.03846853190444375,Ares,Apollodorus,1
Mysia,52.231311595432274,21.020773180923005,Poseidon,Apollodorus,1
Greece,38.99566803326968,21.98692562724744,Poseidon,Apollodorus,1
Aeetes,41.890107203928736,41.774041119521186,Athena,Apollodorus,2
Corcyra,39.621209944395716,19.91805745174574,Hera,Apollodorus,1
Phrontis,37.96343347057734,23.61495191534726,Apollo,Odyssey,1
Scheria,52.090192296765245,4.435550890999069,Hades,Odyssey,1
Aeolus,51.91536700000811,4.3462415549575075,Hera,Odyssey,1
Ossa,43.283508908568336,-0.26746376941075906,Apollo,Odyssey,1
Lesbos,39.1768379355024,25.998399454480424,Apollo,Odyssey,1
Thine,45.26029372970365,4.823557555326185,Ares,Iliad,1
Augia,45.85128917645758,-0.09689680173954261,Ares,Iliad,1
Abantes,40.40666547105566,-3.55908507362871,Ares,Iliad,1
Orthè,43.58811832404884,-1.1777518291198086,Hades,Iliad,1
Pieria,46.52083746134979,12.796898162128576,Ares,Iliad,1
Tmolus,38.33259765707566,27.983316727106175,Hades,Iliad,2
