Place,Latitude,Longitude,God,Source
B.C.,55.001251,-125.002441,Apollo,Apollodorus
A.D.,45.5371719,12.1713559,Apollo,Apollodorus
Cambridge,52.2055314,0.1186637,Apollo,Apollodorus
London,51.5074456,-0.1277653,Apollo,Apollodorus
Semele,-34.6245058,-58.51175,Hera,Apollodorus
Lycaon,33.9530321,-6.8959835,Hermes,Apollodorus
Callisto,18.602392,73.7712794,Hermes,Apollodorus
Hermes,49.3571636,2.2461658,Hermes,Apollodorus
Coronis,46.4513284,13.3216192,Hermes,Apollodorus
Asclepius,55.6764707,12.5791924,Hermes,Apollodorus
Earth,34.2331373,-102.4107493,Hades,Apollodorus
Tartarus,-41.9380197,146.0335232,Hades,Apollodorus
Earth,34.2331373,-102.4107493,Hades,Apollodorus
Earth,34.2331373,-102.4107493,Demeter,Apollodorus
Dicte,35.1628621,25.4450643,Zeus,Apollodorus
Metis,46.0195863,24.4056886,Zeus,Apollodorus
Earth,34.2331373,-102.4107493,Zeus,Apollodorus
Tartarus,-41.9380197,146.0335232,Zeus,Apollodorus
Hades,50.921334,15.6967682,Zeus,Apollodorus
Asia,51.2086975,89.2343748,Hades,Apollodorus
Phoebe,-42.7643429,173.2277656,Athena,Apollodorus
Asia,51.2086975,89.2343748,Zeus,Apollodorus
Hades,50.921334,15.6967682,Zeus,Apollodorus
Sea,47.4475673,-122.3080159,Hades,Apollodorus
Earth,34.2331373,-102.4107493,Hades,Apollodorus
Nereus,51.8366166,4.1601107,Hades,Apollodorus
Eurybia,31.268404,-110.9532949,Hades,Apollodorus
Ceto,46.002595,10.351963,Hades,Apollodorus
Proto,-6.9655412,109.6694008,Zeus,Apollodorus
Ceto,46.002595,10.351963,Zeus,Apollodorus
Hebe,40.6614738,-76.7346888,Zeus,Apollodorus
Themis,25.631845,-100.2732001,Zeus,Apollodorus
Fates,43.9448946,18.7984389,Ares,Apollodorus
Terpsichore,47.2133408,-1.5623287,Apollo,Apollodorus
Urania,48.211547,16.3837538,Apollo,Apollodorus
Thalia,5.8303988,-55.1599989,Apollo,Apollodorus
Polymnia,42.3912703,-8.7024058,Apollo,Apollodorus
Hades,50.921334,15.6967682,Hades,Apollodorus
Pieria,46.520306,12.7972483,Dionysus,Apollodorus
quoit,50.1633334,-5.5693207,Apollo,Apollodorus
Troy,42.7284117,-73.6917878,Zeus,Apollodorus
Metis,46.0195863,24.4056886,Zeus,Apollodorus
Earth,34.2331373,-102.4107493,Zeus,Apollodorus
Metis,46.0195863,24.4056886,Zeus,Apollodorus
Triton,49.5230512,-55.6124588,Zeus,Apollodorus
Themis,25.631845,-100.2732001,Zeus,Apollodorus
Hades,50.921334,15.6967682,Apollo,Apollodorus
Delos,37.39089,25.2717388,Apollo,Apollodorus
Sun,48.0368188,-4.8510835,Zeus,Apollodorus
Iambe,52.3516386,4.8944483,Demeter,Apollodorus
Eleusis,38.047608,23.5348663,Zeus,Apollodorus
Ocean and Earth,-32.2872758,115.7416364,Zeus,Apollodorus
Hades,50.921334,15.6967682,Hades,Apollodorus
Earth,34.2331373,-102.4107493,Hades,Apollodorus
Earth,34.2331373,-102.4107493,Zeus,Apollodorus
Hercules,38.0171441,-122.2885808,Zeus,Apollodorus
Hercules,38.0171441,-122.2885808,Zeus,Apollodorus
Hercules,38.0171441,-122.2885808,Zeus,Apollodorus
Hermes,49.3571636,2.2461658,Zeus,Apollodorus
Fates,43.9448946,18.7984389,Zeus,Apollodorus
Thoas,-21.936,-138.967,Zeus,Apollodorus
Hercules,38.0171441,-122.2885808,Zeus,Apollodorus
Earth,34.2331373,-102.4107493,Zeus,Apollodorus
Egypt,26.2540493,29.2675469,Zeus,Apollodorus
Syria,34.8147886,38.4231781,Zeus,Apollodorus
Hermes,49.3571636,2.2461658,Zeus,Apollodorus
Sicily,37.587794,14.155048,Zeus,Apollodorus
Pandora,40.9481079,-83.9610538,Zeus,Apollodorus
Prometheus,40.7587051,-73.9785783,Zeus,Apollodorus
Greece,38.9953683,21.9877132,Zeus,Apollodorus
Hermes,49.3571636,2.2461658,Zeus,Apollodorus
Myrmidon,-43.5739676,170.7186932,Zeus,Apollodorus
Nireus,36.6182535,27.8384055,Zeus,Apollodorus
Triops,42.1254086,2.7652386,Zeus,Apollodorus
Triops,42.1254086,2.7652386,Poseidon,Apollodorus
Naxos,37.8240743,15.2694003,Artemis,Apollodorus
Thessaly,39.5755929,22.1634449,Zeus,Apollodorus
Aetolia,37.9869121,23.7632638,Apollo,Apollodorus
Pleuron,38.4159947,21.4095166,Apollo,Apollodorus
Calydon,51.4840927,0.0274069,Apollo,Apollodorus
Aetolia,37.9869121,23.7632638,Apollo,Apollodorus
Sterope,41.8744219,12.6169822,Ares,Apollodorus
Aeolia,53.2993656,-2.2410472,Ares,Apollodorus
Pleuron,38.4159947,21.4095166,Apollo,Apollodorus
Calydon,51.4840927,0.0274069,Apollo,Apollodorus
Evenus,51.896693,-8.4593409,Apollo,Apollodorus
