Place,God,Latitude,Longitude,Frequency,Sources
APOLLODORUS,Apollo,,,2,Apollodorus
Apollodorus,Apollo,,,4,"Apollodorus, Iliad"
B.C.,Apollo,55.001251,-125.002441,1,Apollodorus
A.D.,Apollo,45.5371719,12.1713559,1,Apollodorus
Cambridge,Apollo,52.2055314,0.1186637,1,Apollodorus
London,Apollo,51.5074456,-0.1277653,1,Apollodorus
Semele,Hera,-34.6245058,-58.51175,1,Apollodorus
Lycaon,Hermes,33.9530321,-6.8959835,1,Apollodorus
Callisto,Hermes,18.602392,73.7712794,1,Apollodorus
Hermes,Hermes,49.3571636,2.2461658,15,"Apollodorus, Iliad, Odyssey"
Coronis,Hermes,46.4513284,13.3216192,1,Apollodorus
Asclepius,Hermes,55.6764707,12.5791924,1,Apollodorus
Aeacus,Hermes,,,1,Apollodorus
Earth,Hades,34.2331373,-102.4107493,4,Apollodorus
Tartarus,Hades,-41.9380197,146.0335232,1,Apollodorus
Earth,Demeter,34.2331373,-102.4107493,1,Apollodorus
Dicte,Zeus,35.1628621,25.4450643,1,Apollodorus
Adrastia,Zeus,,,1,Apollodorus
Metis,Zeus,46.0195863,24.4056886,3,Apollodorus
Earth,Zeus,34.2331373,-102.4107493,4,Apollodorus
Tartarus,Zeus,-41.9380197,146.0335232,1,Apollodorus
Hades,Zeus,50.921334,15.6967682,2,Apollodorus
Asia,Hades,51.2086975,89.2343748,1,Apollodorus
Coeus,Athena,,,1,Apollodorus
Phoebe,Athena,-42.7643429,173.2277656,1,Apollodorus
Asia,Zeus,51.2086975,89.2343748,1,Apollodorus
Sea,Hades,47.4475673,-122.3080159,1,Apollodorus
Phorcus,Hades,,,1,Apollodorus
Nereus,Hades,51.8366166,4.1601107,1,Apollodorus
Eurybia,Hades,31.268404,-110.9532949,1,Apollodorus
Ceto,Hades,46.002595,10.351963,1,Apollodorus
Proto,Zeus,-6.9655412,109.6694008,1,Apollodorus
Ceto,Zeus,46.002595,10.351963,1,Apollodorus
Hebe,Zeus,40.6614738,-76.7346888,1,Apollodorus
Ilithyia,Zeus,,,1,Apollodorus
Themis,Zeus,25.631845,-100.2732001,2,Apollodorus
Fates,Ares,43.9448946,18.7984389,1,Apollodorus
Terpsichore,Apollo,47.2133408,-1.5623287,1,Apollodorus
Urania,Apollo,48.211547,16.3837538,1,Apollodorus
Thalia,Apollo,5.8303988,-55.1599989,1,Apollodorus
Polymnia,Apollo,42.3912703,-8.7024058,1,Apollodorus
Hades,Hades,50.921334,15.6967682,4,"Apollodorus, Odyssey"
Pieria,Dionysus,46.520306,12.7972483,1,Apollodorus
quoit,Apollo,50.1633334,-5.5693207,1,Apollodorus
Troy,Zeus,42.7284117,-73.6917878,1,Apollodorus
Triton,Zeus,49.5230512,-55.6124588,1,Apollodorus
Coeus,Zeus,,,1,Apollodorus
Hades,Apollo,50.921334,15.6967682,1,Apollodorus
Delos,Apollo,37.39089,25.2717388,1,Apollodorus
Sun,Zeus,48.0368188,-4.8510835,1,Apollodorus
Iambe,Demeter,52.3516386,4.8944483,1,Apollodorus
Thesmophoria,Demeter,,,1,Apollodorus
Eleusis,Zeus,38.047608,23.5348663,1,Apollodorus
Ocean and Earth,Zeus,-32.2872758,115.7416364,1,Apollodorus
Hercules,Zeus,38.0171441,-122.2885808,5,Apollodorus
Hermes,Zeus,49.3571636,2.2461658,3,Apollodorus
Fates,Zeus,43.9448946,18.7984389,1,Apollodorus
Thoas,Zeus,-21.936,-138.967,1,Apollodorus
Egypt,Zeus,26.2540493,29.2675469,1,Apollodorus
Syria,Zeus,34.8147886,38.4231781,1,Apollodorus
Sicily,Zeus,37.587794,14.155048,1,Apollodorus
Pandora,Zeus,40.9481079,-83.9610538,1,Apollodorus
Prometheus,Zeus,40.7587051,-73.9785783,1,Apollodorus
Greece,Zeus,38.9953683,21.9877132,1,Apollodorus
Myrmidon,Zeus,-43.5739676,170.7186932,1,Apollodorus
Nireus,Zeus,36.6182535,27.8384055,1,Apollodorus
Triops,Zeus,42.1254086,2.7652386,1,Apollodorus
Triops,Poseidon,42.1254086,2.7652386,1,Apollodorus
Aloads,Poseidon,,,1,Apollodorus
Hermes,Artemis,,,0,
Aloads,Artemis,,,1,Apollodorus
Naxos,Artemis,37.8240743,15.2694003,1,Apollodorus
Thessaly,Zeus,39.5755929,22.1634449,2,Apollodorus
Laodocus,Apollo,,,1,Apollodorus
Polypoetes,Apollo,,,1,Apollodorus
Aetolia,Apollo,37.9869121,23.7632638,2,Apollodorus
Pleuron,Apollo,38.4159947,21.4095166,2,Apollodorus
Calydon,Apollo,51.4840927,0.0274069,2,Apollodorus
Sterope,Ares,41.8744219,12.6169822,1,Apollodorus
Aeolia,Ares,53.2993656,-2.2410472,1,Apollodorus
Amythaon,Ares,,,1,Apollodorus
Protogenia,Ares,,,1,Apollodorus
Porthaon,Apollo,,,1,Apollodorus
Evenus,Apollo,51.896693,-8.4593409,1,Apollodorus
Molus,Apollo,36.813142,-83.4904683,1,Apollodorus
Aphareus,Apollo,,,1,Apollodorus
Poseidon,Apollo,57.6971779,11.979591,1,Apollodorus
Sterope,Dionysus,41.8744219,12.6169822,1,Apollodorus
Calydon,Dionysus,51.4840927,0.0274069,1,Apollodorus
Greece,Ares,38.9953683,21.9877132,12,"Apollodorus, Iliad"
Calydon,Zeus,51.4840927,0.0274069,1,Apollodorus
Aphareus,Zeus,,,2,Apollodorus
Athens,Zeus,33.9597677,-83.376398,1,Apollodorus
Ancaeus,Zeus,,,1,Apollodorus
Cepheus,Zeus,59.3248494,18.0719228,2,Apollodorus
Arcadia,Zeus,34.1362075,-118.0401497,1,Apollodorus
Tydeus,Zeus,,,2,Apollodorus
Helle,Hermes,50.9103911,5.8520458,1,Apollodorus
Perseis,Zeus,-23.7171001,-45.4343765,1,Apollodorus
Aeetes,Zeus,41.889687,41.7750094,1,Apollodorus
Phrontis,Zeus,37.9639854,23.614443,1,Apollodorus
Boeotia,Hera,38.3574477,23.1101239,1,Apollodorus
Corinth,Hades,34.9343599,-88.5223353,1,Apollodorus
Aegina,Zeus,46.5033665,8.3174138,1,Apollodorus
Phocis,Zeus,38.5001712,22.2490416,1,Apollodorus
Enipeus,Poseidon,,,1,Apollodorus
Pylaon,Poseidon,,,1,Apollodorus
Deimachus,Poseidon,,,1,Apollodorus
Eurybius,Poseidon,,,1,Apollodorus
Evagoras,Poseidon,-7.1495206,-34.8354468,1,Apollodorus
Hercules,Poseidon,38.0171441,-122.2885808,1,Apollodorus
Neleus,Apollo,,,1,Apollodorus
Messene,Dionysus,37.1749567,21.9204618,1,Apollodorus
Lysimache,Dionysus,,,1,Apollodorus
Pronax,Hera,,,1,Apollodorus
Argia,Hera,43.4760696,-1.5410926,1,Apollodorus
Deipyle,Hera,,,1,Apollodorus
Aegialia,Hera,,,1,Apollodorus
Cyanippus,Hera,,,1,Apollodorus
Thessaly,Hera,39.5755929,22.1634449,1,Apollodorus
Eurydice,Apollo,59.3251585,18.0685118,1,Apollodorus
Hercules,Hades,38.0171441,-122.2885808,2,"Apollodorus, Iliad"
Autolycus,Hades,,,1,Apollodorus
Poseidon,Poseidon,57.6971779,11.979591,3,Apollodorus
Dodona,Athena,42.6623452,21.1666427,1,Apollodorus
Greece,Athena,38.9953683,21.9877132,4,"Apollodorus, Iliad"
Hagnias,Zeus,,,1,Apollodorus
Zetes,Zeus,57.1609368,21.4650813,1,Apollodorus
Aeacus,Zeus,,,1,Apollodorus
Arcisius,Zeus,,,1,Apollodorus
Autolycus,Hermes,,,1,Apollodorus
